업체코드,업체명,업종,현역배정인원,현역편입인원,현역복무인원,보충역배정인원,보충역편입인원,보충역복무인원,채용유무
120180548,세우테크윈,전기,0,0,0,320,1,1,모집중
119930454,세원기업(주),섬유,0,0,0,1148,0,0,
120180862,세원정밀(주),생활용품,1,0,1,1476,0,0,
120170883,세아전자(주),전자,1,1,1,1501,3,8,
120190693,세아산업(주),시멘요업,0,0,0,1148,0,0,
119990453,세원테크(주),기계,0,0,0,1476,0,3,
120011141,세우산전(주),전기,2,2,7,1476,0,2,
119991740,세영정보통신(주),통신기기,0,0,1,1148,0,0,
120160885,세영메탈,화학,0,0,0,815,0,0,
119970338,세웅기계(주),기계,0,0,0,1476,0,3,
120160656,세운물산(주),기계,0,0,2,1148,0,0,
120190003,세웅소방기술(주),기계,0,0,0,1476,1,4,모집중
120130701,세신정밀,기계,1,1,6,1148,0,4,
120180894,세라에스이(주),전자,0,0,0,1476,0,2,
120200424,세인홈시스,기계,1,1,1,813,0,0,
120180360,세원기전(주),전기,0,0,1,0,0,1,
119931234,세종특별자치시농기계수리,농기계수리,0,0,0,0,0,0,
120200972,세종이엔씨(주),철강,1,0,0,815,0,0,
120160034,세종기술,기계,1,1,3,813,0,0,
119930729,세종특별자치시농어민후계(농업),후계농업민,0,0,1,0,0,0,
119990865,세진공업(주),전자,0,0,0,815,1,8,
120190561,세종화학(주),화학,1,0,0,593,0,0,
120170683,세중,전기,1,1,2,1501,0,0,
119930981,세종특별자치시농기계운전,농기계운전,0,0,0,0,0,0,
120140150,세일정밀공업(주),철강,0,0,0,1476,1,1,
120161076,세일산업(주),철강,0,0,1,1476,3,3,모집중
119980768,세종전기공업(주),전기,0,0,1,531,0,0,
119970344,세일정기(주),기계,0,0,0,1476,0,1,모집중
120190650,세종콜렉션,철강,0,0,1,0,0,0,
120171302,세진에스앤티(주),철강,0,0,0,593,0,0,
120171786,세진테크(주),기계,0,0,2,1476,0,0,
120150830,세창스틸,철강,0,0,0,320,0,0,
120150874,세창,기계,0,0,2,1148,0,0,
119910874,세진에스엠씨(주),화학,0,0,0,1476,1,1,모집중
120001249,세창화학(주),화학,0,0,0,1476,1,4,
120090181,세진식품(주),식음료,2,1,7,1501,2,14,모집중
120190052,세창에스엠(주),섬유,0,0,1,665,0,0,
120200592,세일전기(주),전기,1,1,1,1476,0,0,
